sentence,sentiment,agreement
"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",positive,50
In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,neutral,50
"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said .",positive,50
The goal will be achieved via organic growth possibly supplemented by acquisitions .,neutral,50
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,neutral,50
"`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) .",positive,50
16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,positive,50
"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",neutral,50
"Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .",positive,50
"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .",positive,50
"In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association .",positive,50
It also has potential clients in the growing environmental and recycling technology sectors .,neutral,50
"Kone 's factory located at Ayanambakkam , a suburb to the west of Chennai , is a fully integrated facility which gives it the capability to address costs .",positive,50
Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .,neutral,50
Net sales in 2007 totalled EUR 329 million and the operating margin was above 19 % .,neutral,50
"Nokia will provide Indosat turnkey services , including civil works , network planning , implementation and integration of a WCDMA 3G-HSPA network .",neutral,50
Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new long-term incentive and commitment plan for members of the management team .,positive,50
Stora Enso will record a capital gain of EUR 33 million as a non-recurring financial item in its fourth quarter 2006 results .,neutral,50
"The buyer aims to thus reinforce its position in Denmark , Martela Group managing director Heikki Martela said .",positive,50
The companies have agreed on long-term cooperation to mechanise harvesting in Stora Enso 's eucalyptus plantations in Southern China .,positive,50
The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,neutral,50
"This is Done Logistics ' largest order in Norway , the diversified group said .",positive,50
"To choose BasWare as the tools for our Financial Service seemed like a natural continuation of our cooperation '' , says Tommi Leskinen , Financial Applications Manager , Neste Oil Corporation .",neutral,50
`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US .,positive,50
Finnish mobile operator DNA will function as a subcontractor to Maingate and will be responsible for telecommunications connections .,positive,50
"Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions .",neutral,50
The stock of new machines is reasonably small and new orders bring work .,positive,50
This lays a foundation for sustainable business development for the long term .,neutral,50
The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .,positive,50
"Israeli cable network operator HOT Telecom has chosen Teleste , an international technology group , as its exclusive provider of FTTx equipment in Israel , according to Teleste today .",positive,50
Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .,neutral,50
"The purchase of sites worth 300 million in the Thames Gateway will provide more than 1,200 homes .",neutral,50
"The Group brand portfolio includes the leading brand in the industry , Rapala , and other global brands like VMC , Storm , Blue Fox , Luhr Jensen , Williamson , Marttiini and Sufix .",neutral,50
"`` Thanks to my Nokia and Lulu , I am now proud to be a published His novel can be found here .",neutral,50
"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",neutral,50
"About Marubeni Marubeni Corporation TSE : 8002 ; ADR : MARUY was established in 1858 , and is a core company of Marubeni Group , one of Japan 's leading general trading houses .",positive,50
"ABOUT MIDNIGHTTRADER : MidnightTrader is the premier source of extended-hours US equity trading analysis , news and forecasting for the retail and institutional investment community .",neutral,50
"Additionally , retailers can use the same hardware across all tasks in stores and throughout the warehouse , providing substantial savings on support and infrastructure costs .",neutral,50
He believes that the soy-oats have a good chance of entering the UK market .,positive,50
It also recovers valuable raw material for Kemira 's water chemical production .,neutral,50
"Last year , Lemminkainen completed the Kouvola K-supermarket contract .",positive,50
Medical Devices - Russia This brand-new market analysis gives a clear overview of the actual situation and future outlook of the medical device market in Russia .,neutral,50
"Mr. Jorma Valkama , Managing Director of Suomen Paikallissanomat Oy , states that Rannikkoseutu complements in an outstanding way the current product range of the company .",neutral,50
"Now , Nokia has announced the launch of Bicycle Charger Kit that is compatible with all Nokia phones that have a 2 mm charging interface .",neutral,50
Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,positive,50
"Tekla Structures BIM Building Information Modeling software is being developed according to a long-term plan of improved user experience , process , and functionality .",positive,50
TeliaSonera is the leading telecommunications company in the Nordic and Baltic regions .,positive,50
The company has a wide selection of metal products and services .,neutral,50
The Court 's decision will also promote genuine competition in services,neutral,50
The ore body is sufficient to support anticipated production for at least 46 years .,neutral,50
"The report provides a comprehensive insight into the company , including business structure and operations , executive biographies and key competitors .",positive,50
"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues .",positive,50
"This implementation will upgrade the existing system , enabling voicemail and video mail to be housed on the same platform .",neutral,50
"` For Nordea , moving into the new headquarters signifies the beginning of a new era .",positive,50
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",positive,50
1 November 2010 - Finnish textile and clothing company Marimekko Oyj ( HEL : MMO1V ) announced on Friday the opening of its first concept store in Seoul in cooperation with Japanese sector player Look Inc ( TYO : 8029 ) .,positive,50
A new production line is being completed for the contract production of hormone treatments .,positive,50
About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,positive,50
About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,neutral,50
Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .,neutral,50
"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .",positive,50
"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",negative,50
Swedish Wallenberg family controlled Investor has bought a large stake of C shares in Swedish retail bank SEB .,neutral,50
"According to the company , staff will be laid off temporarily when necessary .",negative,50
"After the signing , the total amount of Aspo 's revolving credit facility agreements is EUR 50 million , which replaces the formerly valid agreements of EUR 80 million .",neutral,50
"Ahlstrom Corporation STOCK EXCHANGE RELEASE 13.02.2008 Ahlstrom , a global leader in high performance fiber-based materials , today announced the completion of the acquisition of Friend Group Inc. , which consists of West Carrollton Parchment Company and West Carrollton Converting Company .",neutral,50
"Aho is proud of the company 's new product , Lordi-Cola .",neutral,50
"ALEXANDRIA , Va. , Aug. 27 -- Timo Vataja of Tampere , Finland , Virve Inget of Oulu , Finland , have developed a computer program product with activating the right of use .",neutral,50
Altimo and TeliaSonera said yesterday that Usmanov would be welcome to join the new company .,positive,50
"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland  .",neutral,50
"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",neutral,50
"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",neutral,50
Atria Group is a leading Scandinavian meat products group .,positive,50
"Atria will launch a campaign in September to promote the CampoMos brand on the Moscow market , he said .",positive,50
"BG AD , Bulgaria 's leading Internet company .",positive,50
cents Recognize potential partnerships and suppliers .,neutral,50
Certain shareholders have irrevocably agreed to vote in favor of the bond issue .,positive,50
Consumers are now increasingly interested in what they can do with heir phones .,neutral,50
EB will hold the exclusive rights to market the new entity 's product .,neutral,50
"Elisa Corporation , headquartered in Helsinki , is a Finnish telecomms company offering private and corporate customers a comprehensive range of telecomms services .",neutral,50
"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",neutral,50
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) said on Friday ( 27 June ) that it has completed employee negotiations regarding a reorganisation of its operations .,positive,50
"Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum .",positive,50
Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,neutral,50
"GeoSentric 's flagship product is the GyPSii platform , which uses pioneering geo-location software technology to connect people to people , and people to places with new and exciting social community and location-specific services .",neutral,50
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .",neutral,50
"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass in safety glass machines and Albat + Wirsam in software solutions .",neutral,50
"Harju Elekter was founded in 1968 , and is the leading producer of electrical equipment and materials in the Baltic States .",neutral,50
He also mentions that this improvement to the service follows the recent expansion of the Finnlines service from Bilbao via Antwerp and Helsinki and from Hull via Helsinki to St. Petersburg .,positive,50
"HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland .",neutral,50
"Iggesunds Bruk in Sweden is one of the most advanced , fully integrated pulp and paperboard mills in the world .",positive,50
"In addition , YIT has reserved EPI Russia the right to expand the logistics center by about 100,000 m2 .",neutral,50
"In the end , Sanoma News wants to secure its foundation with the savings .",neutral,50
"In the Homeware area , Fiskars provides leading branded products for home , kitchen , and interior design .",positive,50
"In the survey , Goodyear is the third most valued tyre brand , followed by Continental and Bridgestone .",neutral,50
It has several innovative small molecule and biological drug candidates at different stages of clinical development .,neutral,50
It has sold one half of its business operations and will enter the Helsinki Stock Exchange via the back door through an innovative buyout arrangement with Kasola .,neutral,50
It is a solid credit that has been compared to a DZ Bank or a Rabobank .,positive,50
"It is positive that the company it recruited Harri Koponen as CEO , according to Affarsvarlden .",neutral,50
"It is the first oil company to join RSPO and commits fully to sustainable sourcing of feedstocks for the production of its NExBTL biodiesel , it said .",neutral,50
"Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week .",positive,50
"KONE , headquartered in Espoo , Finland , is one of the world 's leading elevator and escalator companies .",neutral,50
"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe .",neutral,50
"MeeGo `` learns as you use it , '' Fisher said , putting the most important things up top .",neutral,50
"More than 200 volunteers from Fiskars , the garden tool company , Home Depot ( NYSE : HD ) , the city of Baltimore and the neighborhood are working right now to create a garden sanctuary - in a single day .",positive,50
Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski .,neutral,50
"Nordea Bank ( STO : NDA ) and Sampo Bank have helped Finnish real estate investment company Sponda ( HEL : SDA1V ) place a EUR100m ( USD125 .4 m ) domestic bond , the company said Friday .",positive,50
"O'Leary 's Material Handling Services , located in Perth , is the leading company in Western Australia that supplies , installs and provides service for tail lifts .",positive,50
One of Uponor 's promising future products is a hydronic cooling system .,positive,50
"Oriola-KD , headquartered in Espoo , Finland , is a leading distributor of pharmaceutical and healthcare products with 1,300 employees in the Nordic and Baltic countries .",neutral,50
"Our solutions are industry-independent supporting multilingual and currency needs , modular and applicable to companies of all sizes , '' CEO Ilkka Sihvo said .",neutral,50
"Our strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",positive,50
"Overall , 50 percent of respondents were confident about their security when banking online .",positive,50
"Poyry Energy GmbH is Austria 's leading engineering and consulting company in the energy , infrastructure and environment sector , owned by Poyry Plc. and the Austrian Verbund AG .",neutral,50
Precedex is approved for IV sedation of initially intubated and mechanically ventilated patients in intensive care .,positive,50
Press release 3 September 2009 Ruukki continues to be listed in two Dow Jones Sustainability Indexes : DJSI World and DJSI STOXX .,neutral,50
Ramirent is a leading company in machinery and equipment rentals for construction and industry .,positive,50
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .,positive,50
"Regulatory News : The Nomination Committee of Cybercom ( STO : CYBE ) , which is unanimous in its proposal , proposes the election of Jon Risfelt as the new Chairman of the Board .",neutral,50
"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services .",neutral,50
Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid-July .,positive,50
South America and Asia are other promising markets .,neutral,50
"Stonesoft is a global provider of proven , next generation solutions that simplify network security management .",neutral,50
Technopolis is Europe 's leading operator of technoparks .,positive,50
Technopolis 's technological centers supply their clients with modern high-class premises .,neutral,50
The company 's strength is its Apetit brand .,positive,50
The effect of the savings will be noticeable as of the beginning of 2010 .,positive,50
The effect of the savings will be noticeable from the beginning of 2010 .,neutral,50
"The group also plans to launch the 270 room Atria Grand , Whitefield , a five star luxury hotel , in 2009 .",neutral,50
"The operator is one of 6 operators to have been granted a WiMAX license in Taiwan , and hopes to be the first to launch commercial services in early 2009 .",neutral,50
The service developed by Digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools .,neutral,50
The shopping center will have a prime location right next to the Myllypuro metro station .,positive,50
The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,positive,50
This beauty is an updated version of her chichi loop shade launched in 2001 .,neutral,50
Tracker G400 is a GPS collar for hunting dogs allowing to monitor the dog 's position and movements with a map application for mobile phones .,neutral,50
Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,neutral,50
"Upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a D-pad -- an upgrade click-happy S60 has needed forever .",positive,50
Uponor has initiated actions to attempt to recover the cost of the replacement program from the supplier of the clamps as well as its insurance company .,neutral,50
"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice .",neutral,50
"` Ruukki has experience of logistics construction , competence in project management and also has the best references in terms of steel frame production and installation , ' says Onodi Stefan , General Manager of Arxikon Construction Company SRL , which is Ruukki 's customer .",positive,50
` The investment in Matka-Vekka has been reasonable for investors in CapMan funds . ',neutral,50
`` Rapala is excited to be partnering with RBFF and other industry leaders on this holiday promotion . '',neutral,50
`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,neutral,50
`` The flex is a small price to pay for happy lenders . '',neutral,50
"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .",positive,50
"3G data subscribers are also helping to maintain these growth levels , since data-only subscriptions push for more multiple SIM ownership .",neutral,50
A realignment of interests in the sector is clearly under way .,positive,50
BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,neutral,50
"Cathay Forest 's strategy is to develop sustainable , regenerative forest assets .",neutral,50
"Chargers manufactured under the new platform are suitable for mobile phones , navigators , digital cameras , Bluetooth head sets , media players and other electronic devices .",neutral,50
"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy .",positive,50
Delivery will start immediately in June 2008 and will be completed in 2008 .,neutral,50
Elisa will expand the use of this technology provided the pilot proves successful .,neutral,50
"Following the impact , the Altima hit a utility pole , causing a live electric line to fall onto the roadway .",neutral,50
"Further concrete cooperation is also carried out through various projects , doctoral theses and diploma dissertations .",neutral,50
"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",neutral,50
"In recent months , Capman has taken significant steps to simplify its operations , CEO Lennart Simonsen said .",positive,50
"Kaido Kaare , general director for Atria Eesti , says the company 's investments in the upgrade of the pig farms surpass EEK 150mn EUR 9.59 mn USD 14.19 mn in the past years .",positive,50
"Kaukopartio Oy has acquired specialized knowledge in Far Eastern operations , and industrial sourcing services are their core competence .",neutral,50
"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday .",neutral,50
Nokian Tyres ' tyres are considered genuine winter tyres in Russia .,neutral,50
