sentence,sentiment,confidence,type
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",1,100,primary_test
Earnings per share EPS rose to EUR 0.11 from EUR 0.03 .,1,100,primary_test
"Finnish pulp and paper machinery maker Vaahto Group Oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended August 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",1,100,primary_test
That would be an increase from estimated sales of 117 million last year .,1,100,primary_test
Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,1,100,primary_test
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,1,100,primary_test
The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year .,1,100,primary_test
"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",1,100,primary_test
"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",1,100,primary_test
in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,1,100,primary_test
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",1,100,primary_test
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",1,100,primary_test
"Fiskars , a 360-year-old global business best known for its orange-handled scissors , expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete .",1,100,primary_test
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",1,100,primary_test
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",1,100,primary_test
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",1,100,primary_test
"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",1,100,primary_test
"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",1,100,primary_test
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",-1,100,primary_test
"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",-1,100,primary_test
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,-1,100,primary_test
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",-1,100,primary_test
"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",-1,100,primary_test
"Operating profit , excluding non-recurring items , totaled EUR 0.2 mn , down from EUR 0.8 mn in the corresponding period in 2006 .",-1,100,primary_test
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",-1,100,primary_test
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,-1,100,primary_test
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",-1,100,primary_test
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,-1,100,primary_test
Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,-1,100,primary_test
"At 1411 CET , ArcelorMittal had lost 7.26 % to EUR 17.38 on Euronext Paris , coming at the lead of the blue-chip fallers .",-1,100,primary_test
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",-1,100,primary_test
Prices and delivery volumes of broadband products decreased significantly in 2005 .,-1,100,primary_test
Glaston 's net profit for the third quarter of 2007 dropped to 2.4 mln euro ( $ 3.5 mln ) from 3.5 mln euro ( $ 5.1 mln ) for the corresponding period of 2006 .,-1,100,primary_test
"Operating profit decreased to nearly EUR 1.7 mn , however .",-1,100,primary_test
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,-1,100,primary_test
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,-1,100,primary_test
Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,-1,100,primary_test
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",-1,100,primary_test
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,-1,100,primary_test
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 .,-1,100,primary_test
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",-1,100,primary_test
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing .,-1,100,primary_test
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",-1,100,primary_test
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,-1,100,primary_test
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",-1,100,primary_test
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",-1,100,primary_test
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",-1,100,primary_test
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year .",-1,100,primary_test
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",-1,100,primary_test
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,-1,100,primary_test
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,-1,100,primary_test
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % .,-1,100,primary_test
Finnish media group Talentum has issued a profit warning .,-1,100,primary_test
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",-1,100,primary_test
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,-1,100,primary_test
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",-1,100,primary_test
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,-1,100,primary_test
The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year .,-1,100,primary_test
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",-1,100,primary_test
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",-1,100,primary_test
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",-1,100,primary_test
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",-1,100,primary_test
Subscription sales decreased slightly .,-1,100,primary_test
The new chain has 700 discount stores and 250 supermarkets .,0,100,primary_test
"Nokia Siemens Networks provides mobile and fixed network infrastructure , communications and networks service platforms , as well as professional services , to operators and service providers .",0,100,primary_test
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,0,100,primary_test
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",0,100,primary_test
New Novator products are supposed to be exported .,0,100,primary_test
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,0,100,primary_test
The transaction value is CAD 15 million approximately EUR 10 million .,0,100,primary_test
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",0,100,primary_test
The report will be emailed within 2 business days of an order .,0,100,primary_test
"Tecnotree 's convergent charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls and raw data traffic for both mobile and fixed networks .",0,100,primary_test
"says Brian Burton , Head of IT Security , Vodafone UK .",0,100,primary_test
"LEED is an internationally recognized green building certification system , developed by the U.S. Green Building Council .",0,100,primary_test
"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",0,100,primary_test
"However , two of the previously ordered sets will start producing electricity at the end of October 2010 , it said .",0,100,primary_test
"In addition , the contract includes modification of the effluent treatment plant at Follum .",0,100,primary_test
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",0,100,primary_test
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,0,100,primary_test
The deliveries are scheduled for the summer and autumn of 2008 .,0,100,primary_test
The financial details of the acquisition were not disclosed .,0,100,primary_test
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",0,100,primary_test
Marimekko is considering further measures in the matter .,0,100,primary_test
"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",0,100,primary_test
The transaction is expected to be finalized by Dec 2009 .,0,100,primary_test
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",0,100,primary_test
"According to Finnair Technical Services , the measure is above all due to the employment situation .",0,100,primary_test
"In total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",0,100,primary_test
The investment would be some EUR5m .,0,100,primary_test
"Before Kemira 's installation NordAlu was producing 3,500 tons of liquid and solid aluminum waste per year .",0,100,primary_test
"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process .",0,100,primary_test
The plant is expected to enter commercial operation by mid-2009 .,0,100,primary_test
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",0,100,primary_test
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",0,100,primary_test
"Fortum needs a clear signal of commitment from the Government that the permit is available before the company will start the next round , Kuula says .",0,100,primary_test
No financial details of the deployment were disclosed .,0,100,primary_test
Talvivaara Mining Company Plc Talvivaara Mining Company is an internationally significant base metals producer with its primary focus on nickel and zinc using a technology known as bioheapleaching to extract metals out of ore .,0,100,primary_test
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",0,100,primary_test
Another noticeable thing is that the search for Tata and Airtel brands was mostly related to ` broadband connections ' .,0,100,primary_test
"Meanwhile , Alfa owns 25.1 % of MegaFon through Altimo , and 4.99 % of Turkcell via an 18.5 % stake in Cukurova Holding .",0,100,primary_test
"HK Ruokatalo produces many turkey products , such as cold cuts .",0,100,primary_test
The identity of the buyer is not yet known .,0,100,primary_test
"cents The profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",0,100,primary_test
No financial details were disclosed .,0,100,primary_test
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",0,100,primary_test
"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",0,100,primary_test
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,0,100,primary_test
"Employees are also better prepared to answer calls , since they already have detailed information about the caller before they answer the phone . ''",1,75,primary_test
The volumes are expected to increase during the next few years .,1,75,primary_test
"Meanwhile , Electrowatt-Ekono Philippines , Inc. was also awarded a three-year operation and maintenance ( O&M ) contract by FR Cement Corporation .",1,75,primary_test
"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",1,75,primary_test
"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",1,75,primary_test
Finnish Aldata Solution has signed a contract of supply its G.O.L.D. system to two French retail chains .,1,75,primary_test
`` Our design team has long admired Marimekko 's vivid patterns and colors .,1,75,primary_test
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",1,75,primary_test
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,1,75,primary_test
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",1,75,primary_test
"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market .",1,75,primary_test
"The Bristol Port Company has sealed a one million pound contract with Cooper Specialised Handling to supply it with four 45-tonne , customised reach stackers from Konecranes .",1,75,primary_test
"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen .",1,75,primary_test
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",1,75,primary_test
"According to Karhinen , OP-Pohjola is an exciting enterprise because the cooperation will bring huge opportunities for customers and the company itself .",1,75,primary_test
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",1,75,primary_test
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,1,75,primary_test
Earnings per share ( EPS ) amounted to a loss of to EUR0 .06 .,-1,75,primary_test
Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,-1,75,primary_test
"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",-1,75,primary_test
The company expects its net sales for the whole 2009 to remain below the 2008 level .,-1,75,primary_test
The dismissed staff members will now take the matter to court unless it can be settled outside .,-1,75,primary_test
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",-1,75,primary_test
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",-1,75,primary_test
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",-1,75,primary_test
"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",-1,75,primary_test
The number of bodily injury cases quadrupled in 2000-2006 .,-1,75,primary_test
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",-1,75,primary_test
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",-1,75,primary_test
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,-1,75,primary_test
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",-1,75,primary_test
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",-1,75,primary_test
"Kiosk and cinema operations have suffered , in particular .",-1,75,primary_test
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",-1,75,primary_test
"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .",0,75,primary_test
"This will be done domestically and in neighboring markets , both organically and through acquisitions .",0,75,primary_test
"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",0,75,primary_test
The company also said that its board of directors has proposed a profit distribution of EUR0 .92 per share .,0,75,primary_test
Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,0,75,primary_test
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,0,75,primary_test
"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",0,75,primary_test
"No price was given for the transaction , which merges two London companies that have worked together on a number of projects including delivery of timetables for Britain 's National Express East Coast rail networks .",0,75,primary_test
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,0,75,primary_test
This would be a huge process .,0,75,primary_test
Protalix is developing genetically engineered proteins from plant cells .,0,75,primary_test
"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country .",0,75,primary_test
Pharmaceuticals - Spain This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Spain .,0,75,primary_test
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",0,75,primary_test
The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,0,75,primary_test
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",0,75,primary_test
High winds also toppled three semi-trailers on I-15 north of Barstow .,0,75,primary_test
